"","0","1","2","3","4","5","6","7","8","9","10","11","13","14","24","MeanDecreaseAccuracy","MeanDecreaseGini"
"airconditioningtypeid",0.187170993270356,0.669033513877866,0.61656394881651,-0.0848315745005149,-0.450134035261566,-0.52347287530812,0,0,-0.263523138347365,0,0,0,0,0,0,0.733853812598141,5.71648033472331
"architecturalstyletypeid",0,-0.626027217371541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.626478156914013,0.924374531181775
"basementsqft",0,-0.263523138347365,0.152252903574993,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003538418587634,0.723356808717694
"bathroomcnt",2.36660997341157,3.66911917761144,4.14750813899949,1.49123315578707,1.43951970542209,0.339189159665001,-0.42502256981341,-0.294937335922468,0.0816307705127823,-0.439328283107959,0,0,0,0,0,4.71066894529914,305.859160499564
"bedroomcnt",2.10729934019675,3.37215018506981,2.92001157808692,1.39092105933802,0.934381479984146,0.823137061226224,0.634153105171156,-0.152935208911686,0.337099931231621,-0.0730881682755858,0.372677996249965,-0.263523138347365,0,0,0,3.40996006189479,208.722908929147
"buildingclasstypeid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buildingqualitytypeid",0.575517767917142,0.582822865994105,-0.575577692317787,0.587808383878314,0.579190206091813,0.494451486568354,0.347837370328465,0,0,0,0,0,0,0,0,0.585862861395271,15.4230272771401
"calculatedbathnbr",1.79935184603263,3.3874665974877,2.28201999389707,1.60616472700601,1.39719547482677,0.107460675483015,-0.507996420069245,-0.610168988490101,0.0521853575904291,-0.0949062999205621,0.263523138347365,0.372677996249965,0,0,0,3.04554455548927,288.563084889058
"decktypeid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"finishedfloor1squarefeet",0.66470479843368,2.33865313502801,2.21285631872937,-0.480240208795384,0.589733295621605,-0.0489243955549683,0.425892877319998,0,0,0,0,0,0,0,0,2.53238139929093,80.7847689495395
"calculatedfinishedsquarefeet",2.46278363225405,5.64376877127767,4.66484200743508,2.17526168874925,1.77966705586804,1.45705872932368,0.225204889405624,-0.0465747030642028,0.301366723251395,0.112687233963802,0.263523138347365,0.372677996249965,0,0,0,7.01402270833693,627.989489928895
"finishedsquarefeet12",2.82984841448108,7.21787065456891,4.30903311959424,1.89066094441685,1.90501765412199,1.92408181322426,0.0880233932132784,0.417760093587455,-0.119823671044257,0.266698230455221,0.263523138347365,0.372677996249965,0,0,0,7.60605388103407,746.101764279775
"finishedsquarefeet13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398065476190476
"finishedsquarefeet15",0,0.535264347388575,0.783149788237113,0.263523138347365,0,0,0,0,0,0,0,0,0,0,0,0.873886160977587,1.04530915403314
"finishedsquarefeet50",0.676059249112537,2.76591740261184,1.61522077844205,-0.667007091877537,0.528103069953561,0.231131931491817,-0.263523138347365,0,-0.263523138347365,0,0,0,0,0,0,2.05322601469154,83.3752168256783
"finishedsquarefeet6",2.58044778655894,1.46332468081647,0.928603833653789,0.668410624265051,0.263523138347365,0,0,0,0,0,0,0,0,0,0,2.66978545358398,62.3173695888341
"fips",1.42857301497048,1.29845107850375,0.924001100489606,1.39035141147348,1.33058402487724,1.04182544215056,0.424452756321307,0.565141517501486,0,0.368932393686311,0,0.263523138347365,0,0,0,1.53427174225129,268.547802480853
"fireplacecnt",0.325715411096978,0.29413944946491,-0.128805103448034,0.217415948564831,-0.697521778931413,-0.047590666900904,-0.365440841377929,0,-0.263523138347365,0,0,0,0,0,0,-0.248853606689787,6.07472530546399
"fullbathcnt",1.56139206867279,2.28102218733562,2.13794399204275,1.31085655943315,1.59509850185859,0.297252379008844,-0.376381825642144,-0.0543438312031417,0.371852573317956,0.0707106781186547,0,0,0,0,0,2.50466038327631,166.92919524244
"garagetotalsqft",13.184754824819,33.0269160121222,4.57100980717741,26.0370730366409,13.0996865760289,5.42630908785863,2.17346674851697,1.32210374998519,0.955453465055416,0.713016655513607,0.372677996249965,0.54232614454664,0,0,0,10.448506552861,5831.47588494198
"heatingorsystemtypeid",1.06656545059089,1.90319517791901,1.92814828096819,0.7283855259614,0.576586151156927,0,0,0,0,0,0,0,0,0,0,2.45145501813987,34.7118083604984
"latitude",1.41648530980993,7.0967274571162,3.05400124513423,1.23329872875813,0.084859474190031,0.0176761981404605,0.584289793248323,0.360936005502446,-0.117851130197758,0.263523138347365,0,0.263523138347365,0,0,0,6.25977120592322,391.40546334128
"longitude",1.60884279523405,5.76768979776172,4.47910145553143,0.705005202944369,1.07847089974673,0.259022084980352,0.690790225120835,-0.079455215770466,-0.100503781525921,-0.0878410461157883,0,0.263523138347365,0,0,0,7.00494951600534,337.614279336625
"lotsizesquarefeet",1.82256082756019,3.76736962439277,3.67274285759696,0.805575521601977,1.80846268465071,1.31933576023307,0.920130203683507,-0.0396653092548653,0.571558051772401,-0.30633942587242,0,0.372677996249965,0,0,0,4.45130199883369,253.661142838686
"poolcnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"poolsizesum",0,-0.156033871840334,-0.908511668460992,-0.504638989017651,0.288693082275708,-0.479352238223548,-0.263523138347365,0,0,0,0,0,0,0,0,-0.836612931781808,5.72824030029588
"pooltypeid10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pooltypeid2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pooltypeid7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
